"fecha","folio","nombre","cantidad","costo","descuento","impuestos","total","surtidos","clave","nombre_comercial"
2024-03-11,5,PLASTICO NEGRO DE POLIETILENO,68.0000,53.0000,0.0000,576.6400,4180.6400,0.00,"562949962586594","SOLUCIONES DEFINITIVAS DEL CARIBE, SA DE CV"
2024-03-11,5,IMPERMEABILIZANTE IMPERCOAT S-40 FIBRA 19L,7.0000,948.0800,0.0000,1061.8500,7698.4100,0.00,"562949962586594","SOLUCIONES DEFINITIVAS DEL CARIBE, SA DE CV"
2024-04-03,12,MALLA PLAFON ,4.0000,509.1800,0.0000,325.8800,2362.6000,0.00,"562949960662861",MATERIALES  SUMACASA
2024-04-02,8,CEMENTO BULTO DE 50KG,26.0000,214.0000,0.0000,890.2400,6454.2400,26.00,"562949960662861",MATERIALES  SUMACASA
2024-04-02,8,MALLA PLAFON ,4.0000,509.1800,0.0000,325.8800,2362.6000,4.00,"562949960662861",MATERIALES  SUMACASA
2024-04-04,13,INTERRUPTORES TERMOMAGNÉTICOS 1 X20,1.0000,180.8700,0.0000,28.9400,209.8100,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-04-04,13,INTERRUPTORES TERMOMAGNÉTICOS 1 X10,2.0000,180.8700,0.0000,57.8800,419.6200,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-04-04,13,INTERRUPTORES TERMOMANÉGTICA 1 X 30,1.0000,180.8700,0.0000,28.9400,209.8100,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-04-04,13,INTERRUPTORES TERMOMAGNÉTICOS 2 X20,1.0000,607.4200,0.0000,97.1900,704.6100,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-04-04,13,INTERRUPTORES TERMOMAGNÉTICOS 2 X50,1.0000,607.4200,0.0000,97.1900,704.6100,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-04-04,16,MOTOBOMBA AQUPAK 1.5HP MOD. SILVER DE 115V,1.0000,2793.9600,0.0000,447.0300,3240.9900,0.00,"562949962363306",AQUAPISCINA Y SERVICIOS SA DE CV
2024-06-20,459,"BASTIDOR 4x1 3/4"" - 6.1 Ml - NOGAL",31.0000,1436.5712,11133.4268,5344.0449,38744.3253,0.00,PROV1080,TIENDAS CUPRUM SA DE CV
2024-04-04,21,CABLE DE USO RUDO 3X12,3.0000,31.6400,0.0000,15.1900,110.1100,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-06-20,459,"BASTIDOR 4x1 3/4"" - 6.1 mL -NEGRO",2.0000,1294.7600,647.3800,310.7424,2252.8824,0.00,PROV1080,TIENDAS CUPRUM SA DE CV
2024-04-04,22,LLAVE ANGULAR 1/2pulg,2.0000,103.0000,0.0000,32.9600,238.9600,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-04,22,LLAVE DE NARIZ 1/2,4.0000,76.0000,0.0000,48.6400,352.6400,4.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-06-27,483,"FILTRO PANDA 19"" P/ALBERCA C/VAL.6VIAS",1.0000,2731.0400,0.0000,436.9664,3168.0064,0.00,"562949962363306",AQUAPISCINA Y SERVICIOS SA DE CV
2024-06-27,483,ARENA SILICA 20-30 SACOS 25 KGS,2.0000,162.0700,0.0000,51.8624,376.0024,0.00,"562949962363306",AQUAPISCINA Y SERVICIOS SA DE CV
2024-06-27,483,TIMER 110V MARCA PANDA,1.0000,630.1720,0.0000,100.8275,730.9995,0.00,"562949962363306",AQUAPISCINA Y SERVICIOS SA DE CV
2024-04-05,25,INTERRUPTORES TERMOMAGNÉTICOS 1 X20,1.0000,180.8700,0.0000,28.9400,209.8100,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
